Time,Vertical,Lateral,Sagittal
24/09/2019 12:42:24.981,1974,2047,2067
24/09/2019 12:42:24.991,1973,2048,2064
24/09/2019 12:42:25.001,1973,2048,2064
24/09/2019 12:42:25.011,1973,2048,2065
24/09/2019 12:42:25.021,1974,2048,2066
24/09/2019 12:42:25.031,1973,2048,2070
24/09/2019 12:42:25.041,1973,2051,2070
24/09/2019 12:42:25.051,1974,2051,2070
24/09/2019 12:42:25.061,1974,2051,2070
24/09/2019 12:42:25.071,1972,2051,2072
24/09/2019 12:42:25.081,1972,2052,2073
24/09/2019 12:42:25.091,1970,2050,2074
24/09/2019 12:42:25.101,1969,2048,2073
24/09/2019 12:42:25.111,1970,2049,2072
24/09/2019 12:42:25.121,1971,2048,2071
24/09/2019 12:42:25.131,1971,2048,2069
24/09/2019 12:42:25.141,1970,2047,2070
24/09/2019 12:42:25.151,1970,2049,2071
24/09/2019 12:42:25.161,1972,2049,2070
24/09/2019 12:42:25.171,1972,2051,2071
24/09/2019 12:42:25.181,1972,2051,2071
24/09/2019 12:42:25.191,1973,2053,2068
24/09/2019 12:42:25.201,1974,2052,2066
24/09/2019 12:42:25.211,1975,2051,2068
24/09/2019 12:42:25.221,1974,2051,2068
24/09/2019 12:42:25.231,1974,2049,2070
24/09/2019 12:42:25.241,1970,2051,2068
24/09/2019 12:42:25.251,1969,2051,2070
24/09/2019 12:42:25.261,1970,2051,2069
24/09/2019 12:42:25.271,1969,2051,2069
24/09/2019 12:42:25.281,1972,2050,2071
24/09/2019 12:42:25.291,1971,2049,2068
24/09/2019 12:42:25.301,1968,2049,2070
24/09/2019 12:42:25.311,1969,2048,2071
24/09/2019 12:42:25.321,1971,2047,2074
24/09/2019 12:42:25.331,1970,2046,2073
24/09/2019 12:42:25.341,1968,2046,2070
24/09/2019 12:42:25.351,1971,2047,2068
24/09/2019 12:42:25.361,1972,2048,2069
24/09/2019 12:42:25.371,1970,2046,2069
24/09/2019 12:42:25.381,1970,2047,2067
24/09/2019 12:42:25.391,1971,2048,2066
24/09/2019 12:42:25.401,1971,2047,2069
24/09/2019 12:42:25.411,1973,2049,2069
24/09/2019 12:42:25.421,1971,2048,2070
24/09/2019 12:42:25.431,1970,2047,2070
24/09/2019 12:42:25.441,1970,2045,2072
24/09/2019 12:42:25.451,1971,2046,2072
24/09/2019 12:42:25.461,1970,2044,2072
24/09/2019 12:42:25.471,1968,2044,2070
24/09/2019 12:42:25.481,1967,2043,2071
24/09/2019 12:42:25.491,1971,2043,2072
24/09/2019 12:42:25.501,1970,2045,2072
