Time,RtoR
,738
,717
,707
,707
,690
,658
,654
,651
,654
,625
,645
,640
,636
,625
,622
,597
,605
,614
,648
,624
,626
,615
,613
,593
,593
,589
,603
,632
,624
,640
,677
,654
,668
,672
,668
,664
,659
,639
,641
,631
,633
,670
,703
,728
,729
,729
,720
,689
,682
,669
,678
,660
,657
,685
,688
,632
,638
,647
,671
,646
,663
,667
,707
,733
,712
,705
,634
,634
,619
,605
,595
,596
,580
,600
,607
,650
,718
,752
,734
,686
,698
,680
,629
,626
,616
,610
,637
,680
,649
,681
,696
,714
,711
,681
,656
,669
,627
,658
,666
,667
,726
,753
,776
,706
,742
,754
,686
,707
,687
,647
,604
,607
,589
,613
,684
,720
,701
,706
,750
,729
,709
,715
,719
,667
,686
,709
,737
,704
,721
,728
,747
,738
,699
,667
,632
,634
,639
,670
,654
,690
,762
,780
,713
,744
,748
,687
,689
,679
,687
,676
,706
,746
,699
,758
,758
,729
,729
,725
,710
,666
,634
,651
,685
,691
,702
,692
,699
,638
,629
,612
,612
,598
,611
,623
,602
,606
,621
,637
,624
,635
,641
,636
,667
,678
,643
,624
,630
,618
,593
,598
,601
,611
,600
,631
,657
,681
,661
,647
,627
,624
,609
,588
,622
,656
,676
,698
,665
,703
,695
,669
,703
,722
,703
,703
,733
,738
,758
,747
,726
,650
,649
,648
,664
,666
,653
,707
,720
,700
,688
,755
,753
,730
,704
,698
,653
,655
,666
,688
,684
,701
,731
,757
,701
,738
,748
,725
,654
,669
,677
,659
,648
,673
,686
,651
,683
,687
,638
,640
,637
,644
,618
,661
,680
,697
,649
,668
,630
,602
,619
,612
,609
,619
,642
,668
,699
,684
,681
,650
,658
,659
,650
,595
,610
,612
,623
,628
,645
,654
,666
,630
,658
,650
,650
,627
,667
,680
,689
,667
,708
,704
,656
,653
,659
,667
,695
,663
,696
,715
,702
,647
,656
,635
,634
,620
,649
,701
,704
,668
,673
,662
,657
,641
,618
,603
,607
,612
,643
,645
,706
,736
,735
,715
,733
,712
,672
,654
,659
,658
,652
,645
,643
,654
,651
,638
,643
,640
,620
,624
,621
,615
,615
,603
,599
,657
,705
,744
,757
,769
,789
,761
,716
,642
,625
,613
,612
,637
,648
,659
,657
,675
,701
,716
,690
,705
,698
,710
,696
,646
,641
,634
,629
,640
,635
,649
,672
,694
,743
,777
,760
,713
,702
,705
,679
,652
,616
,604
,597
,590
,611
,642
,646
,673
,636
,646
,656
,678
,653
,677
,658
,653
,650
,621
,608
,597
,595
,584
,579
,578
,567
,562
,569
,563
,567
,565
,568
,565
,556
,552
,629
,466
,539
,531
,1186
,372
,1470
,67
,417
,67
,11594
,169
,217
,453
,31
,1580
,305
,1515
,326
,67
,377
,527
,5762
,4266
,11420
